Number,Item,ItemType,Status,Description
1,PR2,Laptop,in,item Description
2,PR3,Laptop,in,item Description
3,SS1,Laptop,in,item Description
4,SS2,Laptop,in,item Description
5,A4,Laptop,in,item Description
6,A5,Laptop,in,item Description
7,A6,Laptop,in,item Description
8,A7,Laptop,in,item Description
9,X1,Laptop,in,item Description
10,X2,Laptop,in,item Description
11,T1,Laptop,in,item Description
12,T2,Laptop,in,item Description
13,UB1,Laptop,in,item Description
14,UB2,Laptop,in,item Description
15,ConCam1,ConferenceCam,in,item Description
16,ConCam2,ConferenceCam,in,item Description
17,P1,Projector,in,item Description
18,P2,Projector,in,item Description
19,Q1,Projector,in,item Description
20,Q2,Projector,in,item Description
21,Q3,Projector,in,item Description
22,Q4,Projector,in,item Description
23,Qsm,Projector,in,item Description
24,Presenter1,Presenter,in,item Description
25,Presenter2,Presenter,in,item Description
26,Presenter3,Presenter,in,item Description
27,Webcam1,Webcam,in,item Description
28,Webcam2,Webcam,in,item Description
29,Webcam3,Webcam,in,item Description
30,SDReader1,Reader,in,item Description
31,SDReader2,Reader,in,item Description
32,AdJ1,Adapters,in,Plug Extender
33,AdJ2,Adapters,in,Plug Extender
34,AdJ3,Adapters,in,Plug Extender
35,AdK1,Adapters,in,Hd to mini Hd
36,AdI1,Adapters,in,Dis to mini dis
37,AdL1,Adapters,in,VGA to Dis
38,AdL2,Adapters,in,VGA to Dis
39,HLPDSK,Adapters,in,Hd TO MINI hd
40,AdN1,Adapters,in,VGA to mini hd
41,AdP1,Adapters,in,Hd to mini Hd
42,AdM1,Adapters,in,VGA to Hd pwr
43,AdF1,Adapters,in,Hd to Dis
44,AdE1,Cables,in,Vid Converter
45,AdD1,Cables,in,HD Converter
46,AdA1,Cables,in,HD to Display
47,AdA2,Cables,in,Hd to Display
48,AdH1,Cables,in,Hd to micro Hd
49,AdH2,Cables,in,Hd to micro Hd
50,AdK1,Cables,in,HD to mini HD
51,FIREWIRE,Cables,in,FIREWIRE
52,WtMc1,Microphone,in,White Mic
53,WtMc2,Microphone,in,White Mic
54,BlMc1,Microphone,in,Black Mic
55,BlMc2,Microphone,in,Black Mic
56,LgBlMc1,Microphone,in,Lrg Black Mic
57,CDReader1,Reader,in,Power Reader
58,Recorder1,other,in,Recorder
59,LASERPOINTER2,other,in,Laser Pointer
60,LASERPOINTER,other,in,Laser Pointer
61,LavalierMic1,Microphone,in,Mic
62,NewItem,other,new,NewItem
